"OnOff" "Rate" "PSNR"
"7" "Disable" 1286.04 41.54662
"8" "Disable" 966.98 40.63905
"9" "Disable" 727.52 39.65794
"10" "Disable" 601.78 38.555475
"11" "Disable" 427.96 37.50196
"12" "Disable" 331 36.427435
"13" "Disable" 319.82 35.804995
"14" "Disable" 204.14 34.23358
"1" "Enable" 942.44 40.58669
"2" "Enable" 712.58 39.55864
"3" "Enable" 544.56 38.60489
"4" "Enable" 420.06 37.43861
"5" "Enable" 323.32 36.318815
"6" "Enable" 248.18 35.251905
"15" "Enable" 1274.7 41.55355
"16" "Enable" 198.78 34.02709
